doc_id,pb_folder,source_folder,filter_reason,language,language_confidence,abstract_length,clean_abstract_length,file_name
aba2d0d4a8f9,1 - Climate Change,SDG13,language_low_confidence:0.55,en,0.55,2460,2460,Evaluation of extreme rainfall and temperature over North America in CanRCM4 and CRCM5.pdf
6b7574b40a52,1 - Climate Change,SDG10,abstract_too_short<500,en,0.9999972927941492,187,187,A representation learning framework for detection and characterization of dead versus strain localization zones from pre- to post-failure.pdf
84535222c154,1 - Climate Change,SDG12,abstract_too_short<500,en,0.9999965955826652,329,329,The world’s road to water scarcity_ shortage and stress in the 20th century and pathways towards sustainability.pdf
a7b427c227f7,1 - Climate Change,SDG15,abstract_too_short<500,en,0.9999954858519532,233,233,A New Tool for Separating the Magnetic Mineralogy of Complex Mineral Assemblages from Low Temperature Magnetic Behavior.pdf
d6963dd457eb,1 - Climate Change,SDG2,abstract_empty|language_unknown,,0.0,0,0,We need a sustainable consumption pattern.pdf
d1ad08c326d1,1 - Climate Change,SDG4,abstract_too_short<500,en,0.9999961705506292,450,450,Introduction_ Rethinking History of Science in the Anthropocene.pdf
ad58b1863c3b,1 - Climate Change,SDG14,abstract_too_short<500,en,0.9999984067374345,242,242,The performance of filtered leapfrog schemes in benchmark simulations.pdf
7b24d831f546,1 - Climate Change,SDG4,abstract_too_short<500,en,0.9999954022644364,256,256,"Ingold, Tim. Anthropology and_as education. xii, 94 pp., bibliogr. London_ Routledge, 2018. £32.99 (paper).pdf"
933573e12633,1 - Climate Change,No SDG,abstract_too_short<500|language_not_english:fr,fr,0.7142823152502882,241,241,Uncertainty assessment of climate change impacts on the hydrology of small prairie wetlands.pdf
46749666b969,1 - Climate Change,SDG4,abstract_too_short<500,en,0.9999960260687236,325,325,Psychological Aspects of Building Environmental Consciousness.pdf
6600bf4f6fb3,1 - Climate Change,SDG4,abstract_empty|language_unknown,,0.0,0,0,A Naturalist In The Great Lakes Region.pdf
954647a50ef4,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999973386340072,374,374,"Climate change and trend analysis of temperature_ the case of Addis Ababa, Ethiopia.pdf"
14f613c8493f,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999972935642868,226,226,Impact of climate change on snowpack in the Pyrenees_ Horizontal spatial variability and vertical gradients.pdf
eb83d2386bd9,1 - Climate Change,SDG12,abstract_too_short<500,en,0.999995087365904,487,487,Terraform Sustainability Assessment Framework for Bioregenerative Life Support Systems.pdf
f9e0a2ec0c6b,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999949934001376,281,281,Urban Growth and Climate Change.pdf
b4accb5e5f62,1 - Climate Change,SDG4,abstract_too_short<500,en,0.9999977043372807,386,386,The Impact of Environmental Education on Environmental and Renewable Energy Technology Awareness_ Empirical Evidence from Colombia.pdf
fd8c52c8b316,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999985372263064,295,295,Investigating ENSO and its teleconnections under climate change in an ensemble view – a new perspective.pdf
a190f37c8f13,1 - Climate Change,SDG11,abstract_too_short<500,en,0.9999975408769752,465,465,The Game of Developers and Planners_ Ecosystem Services as a (Hidden) Regulation through Planning Delay Times.pdf
4e0684e154b2,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999948591366744,236,236,Exposure of U.S. National Parks to land use and climate change 1900–2100.pdf
affb8f72c787,1 - Climate Change,No SDG,abstract_too_short<500,en,0.9999989684064178,184,184,Optimal bioenergy power generation for climate change mitigation with or without carbon sequestration.pdf
b0a263cd3ba1,1 - Climate Change,No SDG,abstract_too_short<500,en,0.999996267420223,308,308,Climate Change and Agriculture_ Subsistence Farmers’ Response to Extreme Heat.pdf
9ee813335559,1 - Climate Change,SDG15,abstract_too_short<500,en,0.9999953070404304,251,251,"Planetary Boundaries for Biodiversity_ Implausible Science, Pernicious Policies.pdf"
4b4bc108662d,1 - Climate Change,SDG14,abstract_too_short<500,en,0.9999944897976284,238,238,Bright polar mesospheric clouds formed by main engine exhaust from the space shuttle's final launch.pdf
3f271659124f,1 - Climate Change,SDG13,abstract_empty|language_unknown,,0.0,0,0,Introduction to the special issue_ the phase I CORDEX RegCM4 hyper-matrix (CREMA) experiment.pdf
04afe4f6af17,1 - Climate Change,SDG14,abstract_too_short<500,en,0.9999977081247304,448,448,Interannual oxygen isotope variability in Indian summer monsoon precipitation reflects changes in moisture sources.pdf
